a,web_scraper_start_url,description,data,data2,data3,name,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,rating,image2,image3
1770141561-1,https://www.99acres.com/search/property/buy/mumbai?city=12&preference=S&area_unit=1&res_com=R,"Are you looking for a 4 bhk property for sale in mumbai south? Purchase this 4 bhk flat in godrej trilogy seaturf, located in worli, mumbai south. The flat has four bedrooms and four bathrooms and is built on a carpet area of 2170 square feet. The flat has 70 floors, and this property is located on the 11th floor. Furthermore, the flat is currently under construction, with possession expected b...",,,,"4 BHK Flat in Worli, Mumbai",,9,,,,,,,,Highlights :,Private Garden,,,,https://www.99acres.com/universalapp/img/voulmeOff.png,,,
1770141561-2,https://www.99acres.com/search/property/buy/mumbai?city=12&preference=S&area_unit=1&res_com=R,"Situated in lokhandwala township kandivali east , western mumbai, white city is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in western mumbai is your opportunity to be a part of this community. The flat is north-Facing. Containing 3 bedroom(s), 4 bathrooms , this flat is spread over a carpet area of 1369 sq.Ft. This flat lies on the 20th lev...",,,,"3 BHK Flat in Lokhandwala Kandivali East, Mumbai",,22,,,,,,,,Highlights :,North Facing,,,,https://www.99acres.com/universalapp/img/voulmeOff.png,,,
1770141561-3,https://www.99acres.com/search/property/buy/mumbai?city=12&preference=S&area_unit=1&res_com=R,"Elysian by Oberoi Realty society now offers elegantly built 3,4 BHK apartments in Goregaon East. Prices of apartments in this project, vary between Rs. 7.84 - 10.84 Cr. Elysian by Oberoi Realty 's RERA registration number is P51800027667. Elysian by Oberoi Realty has apartments in multiple configurations, in range of 1,737 - 2,400 sqft",NEW BOOKING,"Completion in Jun, 2027","Goregaon East, Mumbai",Elysian by Oberoi Realty,"Under Construction  · Completion in Jun, 2027",,"3, 4 BHK Apartment","in  Goregaon East, Mumbai",View Number,Brochure,Builder,Oberoi Realty,,Nearby :,Commerz II,4 BHK Apartment,,,https://static.99acres.com/universalapp/img/download_24px.svg,,https://static.99acres.com/universalapp/img/noImageBg.svg,https://static.99acres.com/universalapp/img/NBZ.png
1770141561-4,https://www.99acres.com/search/property/buy/mumbai?city=12&preference=S&area_unit=1&res_com=R,"Choose your dream home from the wide variety of 2,3 BHK apartments in Byculla, available for sale in Ruparel Vivanza. Prices of apartments in this project, vary between Rs. 2.86 - 5.27 Cr. Apartments in Ruparel Vivanza have CARPET area ranging between 635 - 1,172 sqft. This society is RERA approved and P51900003595 is the RERA number",NEW BOOKING,"Completion in Mar, 2027","Byculla, Mumbai",Ruparel Vivanza,"Under Construction  · Completion in Mar, 2027",,"2, 3 BHK Apartment","in  Byculla, Mumbai",View Number,Brochure,Builder,Ruparel Realty,,Nearby :,Eastern Express Highway,3 BHK Apartment,,,https://static.99acres.com/universalapp/img/download_24px.svg,,https://static.99acres.com/universalapp/img/noImageBg.svg,https://static.99acres.com/universalapp/img/NBZ.png
1770141561-5,https://www.99acres.com/search/property/buy/mumbai?city=12&preference=S&area_unit=1&res_com=R,"Looking for your dream home? Explore 1,2 BHK apartments in Kurla, now available in Ruparel Urbana. The housing society is RERA-registered with P51800077585 registration number. Apartments in this complex are available in price range of Rs. 94.9 L - 1.49 Cr. Apartments in Ruparel Urbana have CARPET area ranging between 390 - 595 sqft",NEW BOOKING,"Completion in Dec, 2028","Kurla, Mumbai",Ruparel Urbana,"Under Construction  · Completion in Dec, 2028",,"1, 2 BHK Apartment","in  Kurla, Mumbai",View Number,Brochure,Builder,Ruparel Realty,,Nearby :,Dhirubhai Ambani Intl School,2 BHK Apartment,,,https://static.99acres.com/universalapp/img/download_24px.svg,,https://static.99acres.com/universalapp/img/noImageBg.svg,https://static.99acres.com/universalapp/img/NBZ.png
1770141561-6,https://www.99acres.com/search/property/buy/mumbai?city=12&preference=S&area_unit=1&res_com=R,"Choose your dream home from the wide variety of 2,3 BHK apartments in Evershine Nagar, available for sale in Ruparel Stardom. Prices of apartments in this project, vary between Rs. 2.35 - 3.8 Cr. This society is RERA approved and P51800055521 is the RERA number. Apartments in Ruparel Stardom have CARPET area ranging between 737 - 1,235 sqft",NEW BOOKING,"Completion in Jun, 2028","Evershine Nagar, Malad West",Ruparel Stardom,"Under Construction  · Completion in Jun, 2028",,"2, 3 BHK Apartment","in  Evershine Nagar, Malad West",View Number,Brochure,Builder,Ruparel Realty,,Nearby :,Ryan International School,3 BHK Apartment,,,https://static.99acres.com/universalapp/img/download_24px.svg,,https://static.99acres.com/universalapp/img/noImageBg.svg,https://static.99acres.com/universalapp/img/NBZ.png
1770141561-7,https://www.99acres.com/search/property/buy/mumbai?city=12&preference=S&area_unit=1&res_com=R,"Spacious 1,2,3 BHK apartments in Mulund West are available for sale.Check out latest property options at Runwal Pinnacle housing society. Runwal Pinnacle apartments are available in multiples sizes, ranging from 457 - 1,005 sqft CARPET area. Apartment prices in this housing society vary in the range of Rs. 1.28 - 3 Cr. Runwal Pinnacle 's RERA registration number is P51800021322",NEW BOOKING,"Completion in Jun, 2027","Mulund West, Mumbai",Runwal Pinnacle,"Under Construction  · Completion in Jun, 2027",,"1, 2, 3 BHK Apartment","in  Mulund West, Mumbai",View Number,Brochure,Builder,Runwal Enterprises,,Nearby :,Fortis Hospital,2 BHK Apartment,3 BHK Apartment,,https://static.99acres.com/universalapp/img/download_24px.svg,,https://static.99acres.com/universalapp/img/noImageBg.svg,https://static.99acres.com/universalapp/img/NBZ.png
1770141561-8,https://www.99acres.com/search/property/buy/mumbai?city=12&preference=S&area_unit=1&res_com=R,"Finest 3,4 BHK apartments in Girgaon available for sale in Shapoorji Pallonji The Odyssey 1. This society is RERA approved and P51900050998 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 13.49 Cr. Apartments in Shapoorji Pallonji The Odyssey 1 have CARPET area ranging between 1,155 - 1,920 sqft",NEW BOOKING,"Completion in Aug, 2031","Girgaon, Mumbai",Shapoorji Pallonji The Odyssey 1,"New Launch  · Completion in Aug, 2031",,"3, 4 BHK Apartment","in  Girgaon, Mumbai",View Number,Brochure,Builder,Floreat Investments,,Nearby :,St. Columba School,4 BHK Apartment,,,https://static.99acres.com/universalapp/img/download_24px.svg,,https://static.99acres.com/universalapp/img/noImageBg.svg,https://static.99acres.com/universalapp/img/NBZ.png
1770141561-9,https://www.99acres.com/search/property/buy/mumbai?city=12&preference=S&area_unit=1&res_com=R,"Choose your dream home from the wide variety of 3,4,5 BHK apartments in Worli, available for sale in Runwal Raaya. Apartments in Runwal Raaya have CARPET area ranging between 1,738 - 4,750 sqft. Runwal Raaya 's RERA registration number is P51900080252. Prices of apartments in this project, vary between Rs. 11.28 - 38 Cr",NEW BOOKING,"Completion in Dec, 2032","Worli, Mumbai",Runwal Raaya,"New Launch  · Completion in Dec, 2032",,"3, 4, 5 BHK Apartment","in  Worli, Mumbai",View Number,Brochure,Builder,Runwal Realty,,Nearby :,Peninsula Corporate Park,4 BHK Apartment,5 BHK Apartment,,https://static.99acres.com/universalapp/img/download_24px.svg,,https://static.99acres.com/universalapp/img/noImageBg.svg,https://static.99acres.com/universalapp/img/NBZ.png
1770141561-10,https://www.99acres.com/search/property/buy/mumbai?city=12&preference=S&area_unit=1&res_com=R,"Spacious 2,3,4 BHK apartments in Mahim West are available for sale.Check out latest property options at Ethics Oliver housing society. This society offers apartments in the price range of Rs. 2.68 - 9.49 Cr. This society is RERA approved and PR1170002501231 is the RERA number. Here units have different sizes, mostly in range of 562 - 2,028 sqft CARPET area",NEW BOOKING,"Completion in Dec, 2029","Mahim West, Mumbai",Ethics Oliver,"New Launch  · Completion in Dec, 2029",,"2, 3, 4 BHK Apartment","in  Mahim West, Mumbai",View Number,Brochure,Builder,Ethics Realty,,Nearby :,Victoria High School,3 BHK Apartment,4 BHK Apartment,,https://static.99acres.com/universalapp/img/download_24px.svg,,https://static.99acres.com/universalapp/img/noImageBg.svg,https://static.99acres.com/universalapp/img/NBZ.png
