web_scraper_order,web_scraper_start_url,data,title,data2,title2,data3,data5,name,data7,data8,data11,data14,image,image2,image3,image4,image6
861290-3466,https://www.nobroker.com/search/mumbai,₹ 5.99 Cr,2 BHK Apartment in Bandra West,1246 sqft,Apartment,2 BHK,Ready to Move,"Bandra West, Mumbai",A beautiful 2 BHK property in Bandra West with modern amenities.,8 of 30,2,Semi-Furnished,https://images.property.com/img_177.jpg,https://images.property.com/img_298.jpg,https://images.property.com/img_328.jpg,https://images.property.com/img_41.jpg,https://images.property.com/img_747.jpg
568383-8035,https://www.99acres.com/search/mumbai,₹ 2.34 Cr,2 BHK Apartment in Borivali West,1396 sqft,Apartment,2 BHK,Under Construction,"Borivali West, Mumbai",A beautiful 2 BHK property in Borivali West with modern amenities.,5 of 21,2,Fully Furnished,https://images.property.com/img_632.jpg,https://images.property.com/img_265.jpg,https://images.property.com/img_179.jpg,https://images.property.com/img_366.jpg,https://images.property.com/img_99.jpg
664085-2391,https://www.nobroker.com/search/bengaluru,₹ 91.47 L,1 BHK Apartment in Koramangala,634 sqft,Apartment,1 BHK,Ready to Move,"Koramangala, Bengaluru",A beautiful 1 BHK property in Koramangala with modern amenities.,3 of 25,2,Unfurnished,https://images.property.com/img_569.jpg,https://images.property.com/img_953.jpg,https://images.property.com/img_306.jpg,https://images.property.com/img_459.jpg,https://images.property.com/img_692.jpg
592643-8455,https://www.housingcom.com/search/mumbai,₹ 9.45 Cr,4 BHK Apartment in Worli,1956 sqft,Apartment,4 BHK,Ready to Move,"Worli, Mumbai",A beautiful 4 BHK property in Worli with modern amenities.,14 of 26,3,Fully Furnished,https://images.property.com/img_843.jpg,https://images.property.com/img_201.jpg,https://images.property.com/img_950.jpg,https://images.property.com/img_523.jpg,https://images.property.com/img_380.jpg
547768-8876,https://www.99acres.com/search/bengaluru,₹ 33.24 L,1 BHK Apartment in Whitefield,458 sqft,Apartment,1 BHK,Ready to Move,"Whitefield, Bengaluru",A beautiful 1 BHK property in Whitefield with modern amenities.,5 of 25,2,Unfurnished,https://images.property.com/img_731.jpg,https://images.property.com/img_289.jpg,https://images.property.com/img_532.jpg,https://images.property.com/img_339.jpg,https://images.property.com/img_554.jpg
594322-5044,https://www.nobroker.com/search/bengaluru,₹ 1.37 Cr,3 BHK Apartment in HSR Layout,1392 sqft,Apartment,3 BHK,Under Construction,"HSR Layout, Bengaluru",A beautiful 3 BHK property in HSR Layout with modern amenities.,8 of 17,4,Fully Furnished,https://images.property.com/img_973.jpg,https://images.property.com/img_720.jpg,https://images.property.com/img_941.jpg,https://images.property.com/img_510.jpg,https://images.property.com/img_28.jpg
744133-4918,https://www.magicbricks.com/search/mumbai,₹ 5.66 Cr,2 BHK Apartment in Worli,1144 sqft,Apartment,2 BHK,Ready to Move,"Worli, Mumbai",A beautiful 2 BHK property in Worli with modern amenities.,5 of 29,3,Unfurnished,https://images.property.com/img_514.jpg,https://images.property.com/img_164.jpg,https://images.property.com/img_948.jpg,https://images.property.com/img_798.jpg,https://images.property.com/img_619.jpg
699713-9350,https://www.nobroker.com/search/bengaluru,₹ 64.89 L,1 BHK Apartment in Koramangala,511 sqft,Apartment,1 BHK,Under Construction,"Koramangala, Bengaluru",A beautiful 1 BHK property in Koramangala with modern amenities.,14 of 18,2,Semi-Furnished,https://images.property.com/img_270.jpg,https://images.property.com/img_949.jpg,https://images.property.com/img_862.jpg,https://images.property.com/img_482.jpg,https://images.property.com/img_8.jpg
366488-6369,https://www.magicbricks.com/search/bengaluru,₹ 74.55 L,2 BHK Apartment in Electronic City,1314 sqft,Apartment,2 BHK,Under Construction,"Electronic City, Bengaluru",A beautiful 2 BHK property in Electronic City with modern amenities.,4 of 17,1,Fully Furnished,https://images.property.com/img_645.jpg,https://images.property.com/img_6.jpg,https://images.property.com/img_827.jpg,https://images.property.com/img_392.jpg,https://images.property.com/img_7.jpg
689541-5108,https://www.magicbricks.com/search/bengaluru,₹ 1.05 Cr,2 BHK Apartment in HSR Layout,1118 sqft,Apartment,2 BHK,Ready to Move,"HSR Layout, Bengaluru",A beautiful 2 BHK property in HSR Layout with modern amenities.,3 of 28,1,Semi-Furnished,https://images.property.com/img_529.jpg,https://images.property.com/img_978.jpg,https://images.property.com/img_916.jpg,https://images.property.com/img_747.jpg,https://images.property.com/img_993.jpg
