"Property Name","Property URL","Price (INR)","Address","Property Type","Possession Date","Last Updated","Property Image"
"71 Midtown","https://housing.com/in/buy/projects/page/256921-71-midtown-by-paradigm-realty-in-chembur","₹1.04 Cr - 2.42 Cr","Chembur, Mumbai Harbour, Mumbai","1 BHK Flat,2 BHK Flat,3 BHK Flat","Dec, 2025","2w ago",""
"Agami Infinity Park 3","https://housing.com/in/buy/projects/page/338915-agami-infinity-park-3-by-agami-realty-in-boisar","₹41.0 L - 49.46 L","Boisar, Mira Road and Beyond, Mumbai","2 BHK Flat,3 BHK Flat","Dec, 2029","1d ago",""
"Avant Heritage IV","https://housing.com/in/buy/projects/page/336515-avant-heritage-iv-by-avant-group-in-jogeshwari-east","₹1.19 Cr - 3.73 Cr","Jogeshwari East, Western Suburbs, Mumbai","1 BHK Flat,2 BHK Flat,3 BHK Flat","Dec, 2028","1d ago",""
"Navnath Jayas","https://housing.com/in/buy/projects/page/301735-navnath-jayas-by-navnath-infrastructures-private-limited-in-goregaon-east","₹1.64 Cr - 2.52 Cr","Goregaon East, Andheri - Dahisar, Mumbai","2 BHK Flat,3 BHK Flat","Dec, 2027","1d ago",""
"Alaya","https://housing.com/in/buy/projects/page/347885-alaya-by-paradigm-realty-in-jogeshwari-west","₹1.14 Cr - 2.5 Cr","Jogeshwari West, Western Suburbs, Mumbai","1 BHK Flat,2 BHK Flat,3 BHK Flat","Jun, 2027","6d ago",""
"Sai Swaroop","https://housing.com/in/buy/projects/page/325472-sai-swaroop-by-concrete-builders-in-chembur","₹99.99 L - 2.18 Cr","Chembur, Mumbai Harbour, Mumbai","1 BHK Flat,3 BHK Flat","Dec, 2027","1d ago",""
"Paradigm Anantaara","https://housing.com/in/buy/projects/page/278625-paradigm-anantaara-by-paradigm-realty-in-borivali-west","₹2.38 Cr - 8.59 Cr","Borivali West, Western Suburbs, Mumbai","2 BHK Flat,3 BHK Flat,3.5 BHK Flat,5.5 BHK Flat,6 BHK Flat","Dec, 2030","2w ago",""
"I Stay Project","https://housing.com/in/buy/projects/page/294868-i-stay-project-by-starwing-real-estate-company-in-andheri-east","₹1.57 Cr","Andheri East, Andheri, Mumbai","2 BHK Flat","Oct, 2028","2w ago",""
"Avant Heritage V","https://housing.com/in/buy/projects/page/310556-avant-heritage-v-by-avant-group-in-jogeshwari-east","₹1.99 Cr - 2.21 Cr","Jogeshwari East, JVLR-Andheri East, Mumbai","2 BHK Flat,2.5 BHK Flat","Dec, 2027","2d ago",""
"Sai Emerald","https://housing.com/in/buy/projects/page/309643-sai-emerald-by-sai-realtors-and-developers-in-mulund-west","₹1.45 Cr - 2.89 Cr","Mulund West, Mulund, Mumbai","2 BHK Flat,3 BHK Flat","Dec, 2030","2d ago",""
