"title","propertyType","id","priceRange","pricePerSqft","bedrooms","bathrooms","floorSize","areaType","possessionStatus","postedBy","description","scrapedAt","pageUrl","url"
"4 BHK Flat in Andheri West, Mumbai","4 BHK Flat","M87010072","₹18 Cr","₹59,016 /sqft","3,050 sqft","283 sqm","4 BHK","","Ready To Move","BMG Properties","Windsor grande residences is one of western mumbai's most sought after destination for apartments and this 4 bhk flat in andheri west is your opportunity to be a part of this community. This is a east-Facing property. The flat is over 3050 sq.Ft. Carpet area and comes with 4 bedroom(s), 4 bathrooms and 3 balconies. This flat lies on the 26th level of a 33 storey building. This is a ready to mov...","2026-02-16T14:14:04.015Z","https://www.99acres.com/search/property/buy/andheri-west-mumbai?city=218&locality=4954&preference=S&area_unit=1&budget_min=0&res_com=R&isPreLeased=N","https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-windsor-grande-residences-andheri-west-mumbai-andheri-dahisar-3050-sq-ft-r1-spid-M87010072"
"2 BHK Flat in Andheri West, Mumbai","2 BHK Flat","W86967274","₹2.45 Cr","₹28,323 /sqft","865 sqft","80 sqm","2 BHK","","Ready To Move","KWICK PROPERTY CONSULTANTS","This 2 bhk flat is located in platinum life, which houses some of the most spacious flats in andheri west, western mumbai. This residential flat is west-Facing direction. Constructed on a super built up area of 865 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms . This flat is situated on the 8th floor of this 15 floors tall residential building. Being a ready to move project, you can expe...","2026-02-16T14:14:04.023Z","https://www.99acres.com/search/property/buy/andheri-west-mumbai?city=218&locality=4954&preference=S&area_unit=1&budget_min=0&res_com=R&isPreLeased=N","https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-platinum-life-andheri-west-mumbai-andheri-dahisar-865-sq-ft-spid-W86967274"
"Romell Asrava","2, 3 BHK Apartment","435122","₹2.32 - 2.42 Cr",,"2 BHK","N/A","See configurations",,"Under Construction  · Completion in Dec, 2028","Romell Group","Choose your dream home from the wide variety of 2,3 BHK apartments in Jp Road, available for sale in Romell Asrava. Apartment prices in this housing society vary in the range of Rs. 2.32 - 3.17 Cr. This society is RERA approved and PR1180002400002 is the RERA number. Romell Asrava has apartments in multiple configurations, in range of 700 - 963 sqft","2026-02-16T14:14:04.024Z","https://www.99acres.com/search/property/buy/andheri-west-mumbai?city=218&locality=4954&preference=S&area_unit=1&budget_min=0&res_com=R&isPreLeased=N","https://www.99acres.com/romell-asrava-jp-road-mumbai-andheri-dahisar-npxid-r435122"
"Esto Arkis","1, 2, 3 BHK Apartment","455893","₹1.71 - 1.81 Cr",,"1 BHK","N/A","See configurations",,"New Launch  · Completion in Dec, 2030","Esto Group","Here are beautifully built 1,2,3 BHK apartments in Versova, available for sale at Esto Arkis. Apartments in this complex are available in price range of Rs. 1.71 - 3.97 Cr. Esto Arkis 's RERA registration number is P51800081007. Here units have different sizes, mostly in range of 489 - 1,139 sqft CARPET area","2026-02-16T14:14:04.026Z","https://www.99acres.com/search/property/buy/andheri-west-mumbai?city=218&locality=4954&preference=S&area_unit=1&budget_min=0&res_com=R&isPreLeased=N","https://www.99acres.com/esto-arkis-versova-mumbai-andheri-dahisar-npxid-r455893"
"Godrej Skyshore","3, 4 BHK Apartment","446332","₹8.25 Cr",,"3 BHK","N/A","See configurations",,"New Launch  · Completion in Dec, 2031","Godrej Properties","Spacious 3,4 BHK apartments in Versova are available for sale.Check out latest property options at Godrej Skyshore housing society. The housing society is RERA-registered with PM1180002500076 registration number. Prices of apartments in this project, vary between Rs. 8.25 - 13.75 Cr. Godrej Skyshore apartments are available in multiples sizes, ranging from 1,500 - 2,500 sqft CARPET area","2026-02-16T14:14:04.026Z","https://www.99acres.com/search/property/buy/andheri-west-mumbai?city=218&locality=4954&preference=S&area_unit=1&budget_min=0&res_com=R&isPreLeased=N","https://www.99acres.com/godrej-skyshore-versova-mumbai-andheri-dahisar-npxid-r446332"
"The Westpark","3 BHK Apartment","446324","₹5.51 - 7.59 Cr",,"3 BHK","N/A","See configurations",,"New Launch  · Completion in Jun, 2032","DLF Homes","Choose your dream home from the wide variety of 3 BHK apartments in Andheri West, available for sale in The Westpark. Here units have different sizes, mostly in range of 1,125 - 1,550 sqft CARPET area. Apartment prices in this housing society vary in the range of Rs. 5.51 - 7.59 Cr. The Westpark 's RERA registration number is PR1181012500079","2026-02-16T14:14:04.027Z","https://www.99acres.com/search/property/buy/andheri-west-mumbai?city=218&locality=4954&preference=S&area_unit=1&budget_min=0&res_com=R&isPreLeased=N","https://www.99acres.com/the-westpark-andheri-west-mumbai-andheri-dahisar-npxid-r446324"
"Linkbay Residences","2, 3, 4 BHK Apartment","400448","₹3.63 Cr",,"2 BHK","N/A","See configurations",,"Under Construction  · Completion in Oct, 2028","Adani Realty","Choose your dream home from the wide variety of 2,3,4 BHK apartments in Andheri West, available for sale in Linkbay Residences. Prices of apartments in this project, vary between Rs. 3.63 - 7.4 Cr. The housing society is RERA-registered with P51800047539 registration number. Linkbay Residences apartments are available in multiples sizes, ranging from 849 - 1,837 sqft CARPET area","2026-02-16T14:14:04.027Z","https://www.99acres.com/search/property/buy/andheri-west-mumbai?city=218&locality=4954&preference=S&area_unit=1&budget_min=0&res_com=R&isPreLeased=N","https://www.99acres.com/linkbay-residences-andheri-west-mumbai-andheri-dahisar-npxid-r400448"
"Veena Codename One Luxe","4 BHK Apartment","435094","₹8.89 - 9.51 Cr",,"4 BHK","N/A","See configurations",,"Under Construction  · Completion in Mar, 2028","Veena Developers","Choose your dream home from the wide variety of 4 BHK apartments in Lokhandwala Andheri West, available for sale in Veena Codename One Luxe. Veena Codename One Luxe is a RERA- registered society and PM1180002400053 is the RERA registration number. This society offers apartments in the price range of Rs. 8.89 - 9.51 Cr. Here units have different sizes, mostly in range of 1,699 - 1,817 sqft CARPET area","2026-02-16T14:14:04.028Z","https://www.99acres.com/search/property/buy/andheri-west-mumbai?city=218&locality=4954&preference=S&area_unit=1&budget_min=0&res_com=R&isPreLeased=N","https://www.99acres.com/veena-codename-one-luxe-lokhandwala-andheri-west-mumbai-andheri-dahisar-npxid-r435094"
"Adcore Westwood","2, 3, 4 BHK Apartment","429872","₹3.25 Cr",,"2 BHK","N/A","See configurations",,"Under Construction  · Completion in Dec, 2029","Adcore Developers LLP","Adcore Westwood, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3,4 BHK apartments in Andheri West. Apartments in this complex are available in price range of Rs. 3.25 - 6.88 Cr. Here units have different sizes, mostly in range of 768 - 1,638 sqft CARPET area. Adcore Westwood 's RERA registration number is P51800056187","2026-02-16T14:14:04.028Z","https://www.99acres.com/search/property/buy/andheri-west-mumbai?city=218&locality=4954&preference=S&area_unit=1&budget_min=0&res_com=R&isPreLeased=N","https://www.99acres.com/adcore-westwood-andheri-west-mumbai-andheri-dahisar-npxid-r429872"
"Gurukrupa Dhyanam","2, 3 BHK Apartment","427590","₹2.7 - 2.76 Cr",,"2 BHK","N/A","See configurations",,"New Launch  · Completion in Mar, 2027","Gurukrupa Realcon","Gurukrupa Dhyanam society now offers elegantly built 2,3 BHK apartments in Andheri West. Gurukrupa Dhyanam 's RERA registration number is P51800055801. Gurukrupa Dhyanam has apartments in multiple configurations, in range of 714 - 952 sqft. Prices of apartments in this project, vary between Rs. 2.7 - 4 Cr","2026-02-16T14:14:04.029Z","https://www.99acres.com/search/property/buy/andheri-west-mumbai?city=218&locality=4954&preference=S&area_unit=1&budget_min=0&res_com=R&isPreLeased=N","https://www.99acres.com/gurukrupa-dhyanam-andheri-west-mumbai-andheri-dahisar-npxid-r427590"
