title,title2,name,location,bhk,size_sqft,price_numeric,amenities,image,image2,image3,source_url,scraped_at
"Apartments in C Block BKC, Bandra West, Mumbai | 1+ Apartments for sale in C Block BKC, Bandra West, Mumbai",1 BHK in Mumbai,Firecrawl,Mumbai,1,662.0,27100000.0,"gated,hospital,lift,park,play area,pool,power backup,school,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://c.housingcdn.com/demand/s/client/common/assets/noPhotosFallback.94341155.svg,https://housing.com/in/buy/mumbai/flat-c_block_bkc,2026-04-04T17:52:20.771960Z
"Apartments in Kalina, Santacruz East, Mumbai | 184+ Apartments for sale in Kalina, Santacruz East, Mumbai",1 BHK in Mumbai,Firecrawl,Mumbai,1,747.0,27599999.999999996,"gated,gym,hospital,lift,park,parking,play area,pool,power backup,school,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/a63ca07dcde0782a8442aa8bce0353d6/v0/thumb.jpeg,https://housing.com/in/buy/mumbai/flat-kalina,2026-04-04T17:52:29.147129Z
Flats for Sale in Mumbai Metropolitan Region under 50 Lakhs |  15192+ Properties below 50 Lakhs in Mumbai Metropolitan Region,1 BHK in Mumbai,Firecrawl,Mumbai,1,1000.0,2399000.0,"metro,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://c.housingcdn.com/demand/s/client/common/assets/new_launch.2b18407f.svg,https://housing.com/in/buy/mumbai/flats-in-mmr-under-50-lakhs-P3731bwacldw16z6bU2z60w,2026-04-04T17:52:37.104518Z
"Apartments in Lower Parel, Mumbai | 297+ Apartments for sale in Lower Parel, Mumbai",1 BHK in Mumbai,Firecrawl,Mumbai,1,944.0,66700000.0,"gated,gym,lift,metro,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/f947c110b153aae2bc38cc5677340cdf/v0/thumb.jpg,https://housing.com/in/buy/mumbai/flat-lower_parel,2026-04-04T17:52:44.675810Z
"2 BHK Flats in Colaba, Mumbai | 12+ 2 BHK Flats for sale in Colaba, Mumbai",2 BHK in Mumbai,Firecrawl,Mumbai,2,1628.0,48000000.0,"garden,gated,gym,hospital,lift,metro,park,play area,power backup,school,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/6977f764d03c108acdad6b998cecee7f/v0/thumb.jpg,https://housing.com/in/buy/mumbai/2bhk-colaba,2026-04-04T17:52:51.385614Z
"2 BHK Flats in Gandhre, Mumbai | 2+ 2 BHK Flats for sale in Gandhre, Mumbai",2 BHK in Mumbai,Firecrawl,Mumbai,2,653.0,3500000.0,"garden,school,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg,https://housing.com/in/buy/mumbai/2bhk-gandhre,2026-04-04T17:52:56.265846Z
"3 BHK Flats in Madap, Khopoli, Navi Mumbai | 5+ 3 BHK Flats for sale in Madap, Khopoli, Navi Mumbai",3 BHK in Mumbai,Firecrawl,Mumbai,3,1224.0,8500000.0,"garden,gated,hospital,power backup,school,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/0b8ad14c/ecba3646b5b401d6392a4a9217121753/v0/thumb.jpg,https://housing.com/in/buy/mumbai/3bhk-madap,2026-04-04T17:53:02.241254Z
"Apartments in Sion, Mumbai | 822+ Apartments for sale in Sion, Mumbai",1 BHK in Mumbai,Firecrawl,Mumbai,1,351.0,13000000.0,"garden,gated,gym,hospital,lift,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/879770d88d71e4b5f31a692ad2fa55b4/v0/thumb.png,https://housing.com/in/buy/mumbai/flat-sion,2026-04-04T17:53:11.083746Z
"1 BHK Flats in Western Suburbs, Mumbai | 6634+ 1 BHK Flats for sale in Western Suburbs, Mumbai",1 BHK in Mumbai,Firecrawl,Mumbai,1,239.0,16000000.0,"park,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/c52967d25d83ea1542dd694214548156/v0/thumb.jpeg,https://housing.com/in/buy/mumbai/1bhk-western_suburbs_1,2026-04-04T17:53:19.394022Z
"Apartments in Mahim, Mumbai | 377+ Apartments for sale in Mahim, Mumbai",1 BHK in Mumbai,Firecrawl,Mumbai,1,695.0,31800000.0,"gated,gym,hospital,lift,metro,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/a63ca07dcde0782a8442aa8bce0353d6/v0/thumb.jpeg,https://housing.com/in/buy/mumbai/flat-mahim,2026-04-04T17:53:27.006582Z
