web_scraper_order,web_scraper_start_url,data,name,data2,title,title2,data3,data5,title3,data7,data8,data11,data14,image,image2,image3,image4
"1770138947-1","https://housing.com/in/buy/mumbai/mumbai","Contact","Vibes Estate LLP","1/10","Choice Ambe Krupa","1, 2, 3 BHK Flats  in Ghatkopar East, Mumbai","Zero Brokerage","RERA","1, 2, 3 BHK Flats  in Ghatkopar East, Mumbai","","Possession: Dec, 2025","Possession: Dec, 2025","1 BHK Flat","https://housing-images.n7net.in/fb15c03b/64fee12c2070c3f0f85063a335cb1212/v0/thumb.jpg","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg","https://housing-images.n7net.in/fb15c03b/64fee12c2070c3f0f85063a335cb1212/v0/thumb.jpg"
"1770138947-2","https://housing.com/in/buy/mumbai/mumbai","Contact","Future Realty","1/25","Harsh Trinity Oasis","1 BHK Flat  in Naigaon East, Mumbai","Zero Brokerage","RERA","1 BHK Flat  in Naigaon East, Mumbai","3w ago","Possession: Sep, 2026","Possession: Sep, 2026","1 BHK Flat","https://housing-images.n7net.in/fb15c03b/f08387dca0acb39c8dae287dc5d9fc8a/v0/thumb.jpg","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg","https://housing-images.n7net.in/fb15c03b/f08387dca0acb39c8dae287dc5d9fc8a/v0/thumb.jpg"
"1770138947-3","https://housing.com/in/buy/mumbai/mumbai","Contact","Agami Realty","1/4","Agami Infinity Park 3","2, 3 BHK Flats  in Boisar, Mumbai","Zero Brokerage","RERA","2, 3 BHK Flats  in Boisar, Mumbai","3d ago","Possession: Dec, 2029","Possession: Dec, 2029","2 BHK Flat","https://housing-images.n7net.in/0b8ad14c/7a59ce4d9fbe4f7aea6f1b3414f7cf50/v0/thumb.png","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg","https://housing-images.n7net.in/0b8ad14c/7a59ce4d9fbe4f7aea6f1b3414f7cf50/v0/thumb.png"
"1770138947-4","https://housing.com/in/buy/mumbai/mumbai","Contact","Sai Realtors and Developers","1/20","Sai Emerald","2, 3 BHK Flats  in Mulund West, Mumbai","Zero Brokerage","RERA","2, 3 BHK Flats  in Mulund West, Mumbai","4d ago","Possession: Dec, 2030","Possession: Dec, 2030","2 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-5","https://housing.com/in/buy/mumbai/mumbai","Contact","RNS Realty","1/30","Adani Linkbay Residences Phase 1","2, 3, 4 BHK Flats  in Andheri West, Mumbai","Zero Brokerage","RERA","2, 3, 4 BHK Flats  in Andheri West, Mumbai","2w ago","Possession: Oct, 2028","Possession: Oct, 2028","2 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-6","https://housing.com/in/buy/mumbai/mumbai","Contact","Banke","1/34","Esto Arkis","1, 2, 2.5, 3.5, 4.5 BHK Flats  in Andheri West, Mumbai","","RERA","1, 2, 2.5, 3.5, 4.5 BHK Flats  in Andheri West, Mumbai","1w ago","Possession: Dec, 2030","Possession: Dec, 2030","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-7","https://housing.com/in/buy/mumbai/mumbai","Contact","Richfield Realestate Solutions","1/26","Gurukrupa Marina Enclave","2, 3 BHK Flats  in Malad West, Mumbai","Zero Brokerage","RERA","2, 3 BHK Flats  in Malad West, Mumbai","2w ago","Possession: Sep, 2019","Possession: Sep, 2019","2 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-8","https://housing.com/in/buy/mumbai/mumbai","Contact","One Roof Realty LLP","1/6","Reliable Prestige","1, 2 BHK Flats  in Vikhroli East, Mumbai","Zero Brokerage","RERA","1, 2 BHK Flats  in Vikhroli East, Mumbai","2w ago","Possession: Dec, 2026","Possession: Dec, 2026","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-9","https://housing.com/in/buy/mumbai/mumbai","Contact","Shantee Homes","1/15","Shantee Sunshine Residency","1 RK, 1, 2 BHK Flats  in Vasai East, Vasai","Zero Brokerage","RERA","1 RK, 1, 2 BHK Flats  in Vasai East, Vasai","3d ago","Possession: Dec, 2025","Possession: Dec, 2025","1 RK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-10","https://housing.com/in/buy/mumbai/mumbai","Contact","Banke","1/55","L And T Emerald Isle","1, 2, 3, 4 BHK Flats  in Powai, Mumbai","Zero Brokerage","RERA","1, 2, 3, 4 BHK Flats  in Powai, Mumbai","1w ago","Possession: Dec, 2024","Possession: Dec, 2024","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-11","https://housing.com/in/buy/mumbai/mumbai","Contact","Banke","1/18","DGS Sheetal Tapovan","1, 2, 3 BHK Flats  in Malad East, Mumbai","Zero Brokerage","RERA","1, 2, 3 BHK Flats  in Malad East, Mumbai","3d ago","Possession: May, 2024","Possession: May, 2024","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-12","https://housing.com/in/buy/mumbai/mumbai","Contact","Paradigm Realty","1/18","Paradigm Anantaara","2, 3, 3.5, 5.5, 6 BHK Flats  in Borivali West, Mumbai","Zero Brokerage","RERA","2, 3, 3.5, 5.5, 6 BHK Flats  in Borivali West, Mumbai","4d ago","Possession: Dec, 2030","Possession: Dec, 2030","2 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-13","https://housing.com/in/buy/mumbai/mumbai","Contact","BigBricks Realty","1/24","DGS Sheetal Kiara","1, 2 BHK Flats  in Goregaon West, Mumbai","Zero Brokerage","RERA","1, 2 BHK Flats  in Goregaon West, Mumbai","3d ago","Possession: Dec, 2028","Possession: Dec, 2028","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-14","https://housing.com/in/buy/mumbai/mumbai","Contact","Vibes Estate LLP","1/35","Oberoi Eternia Towers A to D","3, 4 BHK Flats  in Mulund West, Mumbai","Zero Brokerage","RERA","3, 4 BHK Flats  in Mulund West, Mumbai","3d ago","Possession: Dec, 2023","Possession: Dec, 2023","3 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
